Lp.;Wytwórca;Model;Na indywidualne zamówienie;Kod;Nazwa;Kod środka;Nazwa środka;Cena
264;SZAJNA;CR 1,6 A;NIE;2106;SOCZEWKA OKULAROWA;O.01.02.00.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DOROŚLI                                                                                                                                                                                               ;220,00
265;SZAJNA;CR 1,359;NIE;2105;SOCZEWKA OKULAROWA;O.01.02.00.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DOROŚLI                                                                                                                                                                                               ;200,00
266;SZAJNA;CR 1,5 K;NIE;2101;SOCZEWKA OKULAROWA;O.01.02.00.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DOROŚLI                                                                                                                                                                                               ;110,00
267;SZAJNA;NIE DOTYCZY;NIE;1502;SZKŁO OKULAROWE;O.01.02.00.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DOROŚLI                                                                                                                                                                                               ;98,00
268;UNIVERCE OPTICAL;INDEX 1,56 HC;NIE;1687;SOCZEWKA OKULAROWA;O.01.02.00.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DOROŚLI                                                                                                                                                                                               ;79,00
269;SZAJNA;CR 1,67;NIE;2107;SOCZEWKA OKULAROWA;O.01.02.00.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DOROŚLI                                                                                                                                                                                               ;240,00
270;NEOLENS;NEODENS RX 1,6 ASF;NIE;1686;SOCZEWKA OKULAROWA;O.01.02.00.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DOROŚLI                                                                                                                                                                                               ;196,00
271;SZAJNA;CR 1,5/60;NIE;2017;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;70,00
272;SZAJNA;CR 1,5 A;NIE;2020;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;120,00
273;RAKO;CR 1,74;NIE;1980;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;350,00
274;RAKO;CR 1,7;NIE;1979;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;250,00
275;JZO;NIE DOTYCZY;NIE;1428;SZKŁO OKULAROWE;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;50,00
276;JZO;IZOKORN 15;NIE;2340;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;100,00
277;RAKO;CR 1,67 A;NIE;1978;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;220,00
278;RAKO;CR/70;NIE;2348;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;100,00
279;UNIVERCE OPTICAL;IN. 1,66 S.C.;NIE;1747;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;79,00
280;SZAJNA;OPTIGAS 1,52;NIE;1754;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;50,00
281;SZAJNA;OPTIGAS 1,7;NIE;1756;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;98,00
282;RAKO;CR/60;NIE;1972;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;69,00
283;JZO;IZOKORN 16;NIE;1752;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;89,00
284;SZAJNA;CR 1,5;NIE;2018;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;99,00
285;SZAJNA;CR 1,67;NIE;2027;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;350,00
286;SZAJNA;NIE DOTYCZY;NIE;1510;SZKŁO OKULAROWE;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;290,00
287;JZO;IZOKORN 15;NIE;2194;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;79,00
288;SZAJNA;NIE DOTYCZY;NIE;1512;SZKŁO OKULAROWE;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;560,00
289;SZAJNA;NIE DOTYCZY;NIE;1511;SZKŁO OKULAROWE;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;370,00
290;RAKO;CR 1,56 A;NIE;1974;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;95,00
291;JZO;IZOPLAST 150 TOPAZ;NIE;1749;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;129,00
292;SZAJNA;CR 1,67 A;NIE;2026;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;280,00
293;JZO;IZOKORN 15;NIE;1751;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;79,00
294;SZAJNA;OPTIPLAST 1,6 ASF;NIE;1759;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;210,00
295;JZO;IZOPLAST 160;NIE;2193;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;239,00
296;SZAJNA;OPTIPLAST 1,67 ASF;NIE;1760;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;297,00
297;RAKO;CR 1,67;NIE;1977;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;180,00
298;RAKO;CR/60;NIE;2349;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;100,00
299;JZO;IZOKORN 1,7;NIE;1753;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;149,00
300;SZAJNA;CR 1,74;NIE;2028;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;500,00
301;JZO;NIE DOTYCZY;NIE;1507;SZKŁO OKULAROWE;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;50,00
302;RAKO;CR;NIE;1970;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;50,00
303;SZAJNA;OPTIPLAST 1,5;NIE;1757;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;99,00
304;SZAJNA;CR 1,67;NIE;2025;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;250,00
305;RAKO;CR 1,61;NIE;1976;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;140,00
306;SZAJNA;NIE DOTYCZY;NIE;1557;SZKŁO OKULAROWE;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;198,00
307;SZAJNA;CR 1,5;NIE;2344;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;100,00
308;SZAJNA;OPTIPLAST 1,56 ASF;NIE;1758;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;146,00
309;SZAJNA;CR 1,6 A;NIE;2024;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;220,00
310;JZO;IZOPLAST 150 VTR;NIE;2339;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;100,00
311;JZO;IZOPLAST 150 VTR;NIE;2191;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;50,00
312;JZO;IZOPLAST 150 VTR;NIE;1748;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;50,00
313;SZAJNA;CR 1,5/60;NIE;2345;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;100,00
314;JZO;IZOPLAST 150 TOPAZ;NIE;2192;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;129,00
315;RAKO;CR/70;NIE;1971;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;59,00
316;RAKO;CR 1,56;NIE;1973;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;89,00
317;RAKO;CR;NIE;2347;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;100,00
318;RAKO;CR 1,56;NIE;2350;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;100,00
319;SZAJNA;CR 1,56 A;NIE;2022;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;140,00
320;SZAJNA;CR 1,5 K;NIE;2019;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;110,00
321;SZAJNA;CR 1,5;NIE;2016;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;50,00
322;SZAJNA;NIE DOTYCZY;NIE;1509;SZKŁO OKULAROWE;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;98,00
323;SZAJNA;NIE DOTYCZY;NIE;1508;SZKŁO OKULAROWE;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;70,00
324;JZO;IZOPLAST 160;NIE;1750;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;239,00
325;RAKO;CR 1,56 A;NIE;2351;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;100,00
326;SZAJNA;CR 1,6;NIE;2023;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;199,00
327;SZAJNA;OPTIGAS 1,6;NIE;1755;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;85,00
328;RAKO;CR 1,56 SC;NIE;1975;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;120,00
329;SZAJNA;CR 1,56;NIE;2021;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;130,00
330;SZAJNA;CR 1,5;NIE;2346;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;100,00
331;UNIVERCE OPTICAL;IN. 1,49 HC;NIE;1745;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;50,00
332;UNIVERCE OPTICAL;IN.1,56 HC;NIE;1746;SOCZEWKA OKULAROWA;O.01.02.00.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;59,00
333;TARGET;CR SR;NIE;1902;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;235,00
334;JZO;NIE DOTYCZY;NIE;1442;SZKŁO OKULAROWE;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;25,00
335;UNIVERCE OPTICAL;IN.1,49 HC;NIE;1628;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;25,00
336;UNIVERCE OPTICAL;IN.1,49 HC/60 HC;NIE;1629;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;35,00
337;JZO;NEOLENS IN.1,5;NIE;2270;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;25,00
338;SZAJNA;OPTIPLAST 1,6;NIE;1642;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;199,00
339;UNIVERCE OPTICAL;IN.1,56 HC;NIE;1632;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;49,00
340;JZO;PRAKTIS 150;NIE;2228;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;25,00
341;SZAJNA;NIE DOTYCZY;NIE;1464;SZKŁO OKULAROWE;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;98,00
342;JZO;IZOPLAST 150 MIŚ;NIE;1627;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;59,00
343;RAKO;CR 1,56 SPM;NIE;1871;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;69,00
344;SZAJNA;CR UTW;NIE;1933;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;25,00
345;SZAJNA;CR 1,56;NIE;1940;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;177,00
346;SZAJNA;CR 1,5;NIE;1938;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;79,00
347;SZAJNA;CR 1,67;NIE;1943;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;238,00
348;RAKO;CR;NIE;1867;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;25,00
349;RAKO;CR 1,61;NIE;1875;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;120,00
350;SZAJNA;NIE DOTYCZY;NIE;1463;SZKŁO OKULAROWE;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;50,00
351;SZAJNA;PRIMGLAS IN. 1,52;NIE;1637;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;25,00
352;NEOLENS;IN.1,6 ASF;NIE;1635;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;149,00
353;JZO;NIE DOTYCZY;NIE;1461;SZKŁO OKULAROWE;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;25,00
354;SZAJNA;NIE DOTYCZY;NIE;1462;SZKŁO OKULAROWE;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;35,00
355;JZO;NIE DOTYCZY;NIE;1420;SZKŁO OKULAROWE;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;50,00
356;RAKO;CR 1,56 SPH;NIE;2272;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;69,00
357;SZAJNA;OPTIPLAST 1,67 ASF;NIE;1644;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;279,00
358;SZAJNA;NIE DOTYCZY;NIE;1466;SZKŁO OKULAROWE;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;290,00
359;RAKO;CR/55;NIE;1869;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;49,00
360;RAKO;CR 1,59;NIE;1872;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;75,00
361;TARGET;CR/55;NIE;1901;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;59,00
362;JZO;IZOPLAST 150 TOPAZ;NIE;1626;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;39,00
363;JZO;NEOLENS IN.1,6 ASF;NIE;2271;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;149,00
364;RAKO;CR 1,56;NIE;1870;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;59,00
365;SZAJNA;PROFIT IN 1,56;NIE;1638;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;49,00
366;RAKO;CR 1,6;NIE;1873;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;80,00
367;RAKO;CR 1,6 A;NIE;1874;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;90,00
368;SZAJNA;CR 1,56 A;NIE;1941;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;134,00
369;RAKO;CR 1,67 A;NIE;1876;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;150,00
370;SZAJNA;CR 1,67 A;NIE;1944;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;260,00
371;SZAJNA;OPTIPLAST IN 1,56 ASF;NIE;1641;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;149,00
372;NEOLENS;IN.1,5;NIE;1634;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;25,00
373;SZAJNA;CR 1,56;NIE;1937;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;50,00
374;JZO;IZOPLAST 150;NIE;1624;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;25,00
375;RAKO;CR 1,74;NIE;1878;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;250,00
376;SZAJNA;CR 1,6;NIE;1942;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;199,00
377;JZO;IZOKRON 15;NIE;1625;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;25,00
378;SZAJNA;NIE DOTYCZY;NIE;1548;SZKŁO OKULAROWE;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;169,00
379;UNIVERCE OPTICAL;IN.1,56 SC;NIE;1633;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;59,00
380;SZAJNA;CR/60;NIE;1934;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;35,00
381;UNIVERCE OPTICAL;IN.1,49 HC/55 HC;NIE;1630;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;39,00
382;SZAJNA;OPTIPLAST 1,6 ASF;NIE;1643;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;229,00
